path	symbol	mechanism	occurrences	protected_access	contract	cutover_state	owner	evidence
app/api/audit.py	delete_audit_event	get_db_admin_bypass	1	yes	isolated_cross_tenant_service	blocked	audit	cross-tenant API targets RLS-protected audit.audit_log
app/api/audit.py	get_audit_event	get_db_admin_bypass	1	yes	isolated_cross_tenant_service	blocked	audit	cross-tenant API targets RLS-protected audit.audit_log
app/api/audit.py	list_audit_events	get_db_admin_bypass	1	yes	isolated_cross_tenant_service	blocked	audit	cross-tenant API targets RLS-protected audit.audit_log
app/api/auth.py	create_api_key	get_db_admin_bypass	1	no	ordinary_app_user	ready	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	create_mfa_method	get_db_admin_bypass	1	no	ordinary_app_user	ready	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	create_session	get_db_admin_bypass	1	no	ordinary_app_user	ready	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	create_user_credential	get_db_admin_bypass	1	no	ordinary_app_user	ready	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	delete_api_key	get_db_admin_bypass	1	no	ordinary_app_user	ready	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	delete_mfa_method	get_db_admin_bypass	1	no	ordinary_app_user	ready	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	delete_session	get_db_admin_bypass	1	no	ordinary_app_user	ready	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	delete_user_credential	get_db_admin_bypass	1	no	ordinary_app_user	ready	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	generate_api_key	get_db_admin_bypass	1	no	ordinary_app_user	ready	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	get_api_key	get_db_admin_bypass	1	no	ordinary_app_user	ready	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	get_mfa_method	get_db_admin_bypass	1	no	ordinary_app_user	ready	identity	public auth CRUD tables are RLS=false at migration heads
app/api/auth.py	get_session	get_db_admin_bypass	1	no	ordinary_app_user	ready	identity	public auth CRUD tables are RLS=false at migration heads
